id,left,top,right,bottom,calc_mean
"211",-12166.3661289909,6716423.54166601,-11993.161048234,6716273.54166601,0.00841587053838954
"212",-12166.3661289909,6716273.54166601,-11993.161048234,6716123.54166601,0.00455314690066077
"213",-12166.3661289909,6716123.54166601,-11993.161048234,6715973.54166601,0.00308204683465127
"214",-12166.3661289909,6715973.54166601,-11993.161048234,6715823.54166601,0.00251260535587556
"215",-12166.3661289909,6715823.54166601,-11993.161048234,6715673.54166601,0.00256980223048478
"216",-12166.3661289909,6715673.54166601,-11993.161048234,6715523.54166601,0.00297447456502676
"217",-12166.3661289909,6715523.54166601,-11993.161048234,6715373.54166601,0.00326280728828524
"218",-12166.3661289909,6715373.54166601,-11993.161048234,6715223.54166601,0.00306697775868368
"219",-12166.3661289909,6715223.54166601,-11993.161048234,6715073.54166601,0.00517486862426489
"220",-12166.3661289909,6715073.54166601,-11993.161048234,6714923.54166601,0.00339539983163461
"221",-12166.3661289909,6714923.54166601,-11993.161048234,6714773.54166601,0.00363545195258892
"222",-12166.3661289909,6714773.54166601,-11993.161048234,6714623.54166601,0.00351453622730259
"223",-12166.3661289909,6714623.54166601,-11993.161048234,6714473.54166601,0.0055690620734667
"224",-12166.3661289909,6714473.54166601,-11993.161048234,6714323.54166601,0.000979019618902541
"225",-12036.4623184233,6716498.54166601,-11863.2572376664,6716348.54166601,0.000861182453119139
"226",-12036.4623184233,6716348.54166601,-11863.2572376664,6716198.54166601,0.000796047814227602
"227",-12036.4623184233,6716198.54166601,-11863.2572376664,6716048.54166601,0.000538153428475703
"228",-12036.4623184233,6716048.54166601,-11863.2572376664,6715898.54166601,0.000575546147904305
"229",-12036.4623184233,6715898.54166601,-11863.2572376664,6715748.54166601,0.000676094945812501
"230",-12036.4623184233,6715748.54166601,-11863.2572376664,6715598.54166601,0.000608903497974547
"231",-12036.4623184233,6715598.54166601,-11863.2572376664,6715448.54166601,0.000647269286346449
"232",-12036.4623184233,6715448.54166601,-11863.2572376664,6715298.54166601,0.000644907868662727
"233",-12036.4623184233,6715298.54166601,-11863.2572376664,6715148.54166601,0.000792592752160705
"234",-12036.4623184233,6715148.54166601,-11863.2572376664,6714998.54166601,0.000405092762404332
"235",-12036.4623184233,6714998.54166601,-11863.2572376664,6714848.54166601,0.00242105238173369
"236",-12036.4623184233,6714848.54166601,-11863.2572376664,6714698.54166601,0.00286221660013016
"237",-12036.4623184233,6714698.54166601,-11863.2572376664,6714548.54166601,0.00165334470550858
"238",-12036.4623184233,6714548.54166601,-11863.2572376664,6714398.54166601,0.000438644952219241
